管理番号,登録年月日,設計書コード,実施年度,管轄土木事務所,管轄事務所コード,ボーリング業者,市町村,市町村コード,大字,ボーリング名,完了,ボーリング連番,採取日,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,測地系,孔口標高（m）,掘進長（m）,柱状図区分,関連ファイル名,緯度(10進),経度(10進),市町村(逆ジオコード),区域(逆ジオコード)
13106004102,2019/09/19,131060041,平成31年度,栃木県矢板土木事務所,06,株式会社中央土木工学研究所,,09211,　中,Bor2,2019/09/17,0002,2019-8-2,36,48,26.6119,139,56,32.7280,1,224.61,26.45,土質,13106004102.pdf,36.80739219,139.94242444,矢板市,中
13106010301,2020/01/23,131060103,平成31年度,栃木県矢板土木事務所,06,第一測工株式会社,,09211,長井,工区1 B-1,2020/01/10,0001,2019-10-30,36,50,53.5300,139,51,58.0000,1,411.74,10.00,土質,13106010301.pdf,36.84820278,139.86611111,矢板市,長井
13106010302,2020/01/23,131060103,平成31年度,栃木県矢板土木事務所,06,第一測工株式会社,,09211,長井,工区2 B-1,2020/01/10,0002,2019-11-1,36,50,35.2200,139,52,13.4400,1,340.86,5.90,土質,13106010302.pdf,36.84311667,139.8704,矢板市,長井
13107005201,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.1,2019/11/21,0001,2019-11-21,36,55,21.6600,140,14,28.4600,1,549.36,8.12,岩盤,13107005201.pdf,36.92268333,140.24123889,大田原市,
13107005202,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.2,2019/11/21,0002,2019-11-21,36,55,22.2300,140,14,28.0800,1,541.71,5.06,岩盤,13107005202.pdf,36.92284167,140.24113333,大田原市,
13107005203,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.3,2019/11/21,0003,2019-8-2,36,55,30.3500,140,14,29.0700,1,500.41,5.02,岩盤,13107005203.pdf,36.92509722,140.24140833,大田原市,
13107005204,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.4,2019/11/21,0004,2019-7-17,36,55,30.3400,140,14,29.0700,1,492.28,6.01,岩盤,13107005204.pdf,36.92509444,140.24140833,大田原市,
13107005205,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.5,2019/11/21,0005,2019-7-11,36,55,49.5300,140,14,12.0500,1,505.32,6.03,岩盤,13107005205.pdf,36.930425,140.23668056,大田原市,
13107005206,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.6,2019/11/21,0006,2019-7-12,36,55,53.1200,140,14,11.1000,1,501.76,5.01,岩盤,13107005206.pdf,36.93142222,140.23641667,大田原市,
13107005207,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.7,2019/11/21,0007,2019-7-26,36,56,08.6300,140,13,56.2800,1,554.15,6.25,岩盤,13107005207.pdf,36.93573056,140.2323,大田原市,
13107005208,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.8,2019/11/21,0008,2019-7-17,36,56,08.2900,140,13,56.9800,1,543.64,5.03,岩盤,13107005208.pdf,36.93563611,140.23249444,大田原市,
13107005209,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.9,2019/11/21,0009,2019-7-30,36,56,08.6300,140,13,56.2800,1,555.46,7.00,岩盤,13107005209.pdf,36.93573056,140.2323,大田原市,
13107005210,2020/01/20,131070052,平成31年度,栃木県大田原土木事務所,07,福原地質基礎株式会社,,09210,南方,NO.10,2019/11/21,0010,2019-7-22,36,56,08.2900,140,13,56.9800,1,545.62,5.00,岩盤,13107005210.pdf,36.93563611,140.23249444,大田原市,
13107006501,2019/08/30,131070065,平成31年度,栃木県大田原土木事務所,07,パスキン工業株式会社,,09212,上厚崎,BL-1,2019/08/20,0001,2019-7-23,36,57,23.0000,140,01,22.0000,1,-0.31,6.00,土質,13107006501.pdf,36.95638889,140.02277778,那須塩原市,上厚崎
13107006502,2019/08/30,131070065,平成31年度,栃木県大田原土木事務所,07,パスキン工業株式会社,,09212,上厚崎,BL-2,2019/08/20,0002,2019-7-30,36,57,24.0000,140,01,25.0000,1,-0.37,6.00,土質,13107006502.pdf,36.95666667,140.02361111,那須塩原市,上厚崎
13107009501,2020/02/06,131070095,平成31年度,栃木県大田原土木事務所,07,株式会社フジタ地質,,09210,中央,NO.8,2019/11/05,0001,2019-8-19,36,51,47.9000,140,01,18.0000,1,208.15,13.45,土質,13107009501.pdf,36.86330556,140.02166667,大田原市,末広
13107009502,2020/02/06,131070095,平成31年度,栃木県大田原土木事務所,07,株式会社フジタ地質,,09210,中央,NO.9,2019/11/05,0002,2019-8-29,36,51,51.5000,140,01,17.5000,1,208.67,15.45,土質,13107009502.pdf,36.86430556,140.02152778,大田原市,中央
13107009503,2020/02/06,131070095,平成31年度,栃木県大田原土木事務所,07,株式会社フジタ地質,,09210,中央,NO.10,2019/11/05,0003,2019-9-6,36,51,54.2000,140,01,16.5000,1,208.63,15.45,土質,13107009503.pdf,36.86505556,140.02125,大田原市,中央
13107010701,2019/11/13,131070107,平成31年度,栃木県大田原土木事務所,07,第一測工株式会社,,09407,　高久甲,調査箇所1,2019/11/06,0001,2019-8-29,37,00,24.0700,140,05,33.9000,1,325.30,20.00,土質,13107010701.pdf,37.00668611,140.09275,那須町,寺子乙
13107010702,2019/11/13,131070107,平成31年度,栃木県大田原土木事務所,07,第一測工株式会社,,09407,　高久甲,調査箇所2,2019/11/06,0002,2019-8-23,37,00,23.9800,140,05,31.8400,1,324.33,25.00,土質,13107010702.pdf,37.00666111,140.09217778,那須町,寺子乙
13107010703,2019/11/13,131070107,平成31年度,栃木県大田原土木事務所,07,第一測工株式会社,,09407,　高久甲,調査箇所3,2019/11/06,0003,2019-9-2,37,00,14.0700,140,05,17.2800,1,309.14,13.00,土質,13107010703.pdf,37.00390833,140.08813333,那須町,寺子乙
13107010704,2019/11/13,131070107,平成31年度,栃木県大田原土木事務所,07,第一測工株式会社,,09407,　高久甲,調査箇所4,2019/11/06,0004,2019-8-30,37,00,24.0700,140,05,33.9000,1,321.17,10.00,土質,13107010704.pdf,37.00668611,140.09275,那須町,寺子乙
13107010705,2019/11/13,131070107,平成31年度,栃木県大田原土木事務所,07,第一測工株式会社,,09407,　高久甲,調査箇所5,2019/11/06,0005,2019-9-5,37,00,09.0800,140,05,12.4800,1,307.25,10.00,土質,13107010705.pdf,37.00252222,140.0868,那須町,高久甲
13107010706,2019/11/13,131070107,平成31年度,栃木県大田原土木事務所,07,第一測工株式会社,,09407,　高久甲,調査箇所6,2019/11/06,0006,2019-9-6,36,59,43.6200,140,05,10.9100,1,306.11,12.00,土質,13107010706.pdf,36.99545,140.08636389,那須町,寺子乙
13107010707,2019/11/13,131070107,平成31年度,栃木県大田原土木事務所,07,第一測工株式会社,,09407,　高久甲,調査箇所7,2019/11/06,0007,2019-9-9,37,00,18.1400,140,05,20.3800,1,325.45,18.00,土質,13107010707.pdf,37.00503889,140.08899444,那須町,寺子乙
13107014201,2019/10/21,131070142,平成31年度,栃木県大田原土木事務所,07,日本測地株式会社,,09210,城山,B-1,2019/10/07,0001,2019-9-5,36,52,11.3000,140,02,00.6300,1,212.19,15.45,土質,13107014201.pdf,36.86980556,140.03350833,大田原市,山の手
13110024301,2020/03/13,131100243,平成31年度,栃木県安足土木事務所,10,第一測工株式会社,,09202,,NO.B-1,2020/03/03,0001,2020-1-22,36,21,06.5600,139,28,26.6200,1,37.85,23.00,土質,13110024301.pdf,36.35182222,139.47406111,足利市,利保町
13110024302,2020/03/13,131100243,平成31年度,栃木県安足土木事務所,10,第一測工株式会社,,09202,,NO.B-2,2020/03/03,0002,2020-1-24,36,21,06.2400,139,28,25.6400,1,37.86,30.00,土質,13110024302.pdf,36.35173333,139.47378889,足利市,利保町
13006017401,2020/07/07,130060174,平成30年度,栃木県矢板土木事務所,06,日本測地株式会社,,09211,平野,工区1No.1,2019/01/07,0001,2018-12-13,36,52,01.7100,139,52,20.0600,1,452.38,11.45,土質,13006017401.pdf,36.86714167,139.87223889,矢板市,平野
13006017402,2020/07/07,130060174,平成30年度,栃木県矢板土木事務所,06,日本測地株式会社,,09211,平野,工区2No.1,2019/01/07,0002,2018-12-7,36,52,03.6100,139,52,28.5500,1,414.05,25.19,土質,13006017402.pdf,36.86766944,139.87459722,矢板市,平野
13006017403,2020/07/07,130060174,平成30年度,栃木県矢板土木事務所,06,日本測地株式会社,,09211,平野,工区2No.2,2019/01/07,0003,2018-12-7,36,52,04.2300,139,52,28.2800,1,416.96,19.29,土質,13006017403.pdf,36.86784167,139.87452222,矢板市,平野
13007037101,2020/04/02,130070371,平成30年度,栃木県大田原土木事務所,07,株式会社中央土木工学研究所,,09410,塩原,Br.1(本堤右岸部),2019/11/18,0001,2019-10-4,36,58,5.5217,139,49,5.5099,1,586.97,9.00,土質,13007037101.pdf,36.96820047,139.81819719,那須塩原市,塩原
13007037102,2020/04/02,130070371,平成30年度,栃木県大田原土木事務所,07,株式会社中央土木工学研究所,,09410,塩原,Br.2(本堤中央),2019/11/18,0002,2019-9-26,36,58,5.8066,139,49,5.1858,1,583.60,11.00,土質,13007037102.pdf,36.96827961,139.81810717,那須塩原市,塩原
13007037103,2020/04/02,130070371,平成30年度,栃木県大田原土木事務所,07,株式会社中央土木工学研究所,,09410,塩原,Br.3(本堤左岸部),2019/11/18,0003,2019-10-21,36,58,6.2904,139,49,4.1079,1,585.98,5.00,土質,13007037103.pdf,36.968414,139.81780775,那須塩原市,塩原
13007037104,2020/04/02,130070371,平成30年度,栃木県大田原土木事務所,07,株式会社中央土木工学研究所,,09410,塩原,Br.4(副堤中央),2019/11/18,0004,2019-10-11,36,58,6.5358,139,49,5.2518,1,580.52,10.00,土質,13007037104.pdf,36.96848217,139.8181255,那須塩原市,塩原
13101048501,2020/07/07,131010485,平成31年度,栃木県宇都宮土木事務所,01,日本測地株式会社,,09301,上三川,BV-1,2020/07/02,0001,2020-6-3,36,26,19.7000,139,54,12.9000,1,65.22,14.44,土質,13101048501.pdf,36.43880556,139.90358333,上三川町,上蒲生
13101048502,2020/07/07,131010485,平成31年度,栃木県宇都宮土木事務所,01,日本測地株式会社,,09301,上三川,BV-2,2020/07/02,0002,2020-5-28,36,26,19.8000,139,54,13.6000,1,65.07,16.33,土質,13101048502.pdf,36.43883333,139.90377778,上三川町,上蒲生
13102014201,2020/05/28,131020142,平成31年度,栃木県鹿沼土木事務所,02,須田地下工機株式会社,,09205,深津,B-1,2020/03/17,0001,2020-1-16,36,32,46.2700,139,49,06.9000,1,114.42,10.00,土質,13102014201.pdf,36.54618611,139.81858333,宇都宮市,上欠町
13102014202,2020/05/28,131020142,平成31年度,栃木県鹿沼土木事務所,02,須田地下工機株式会社,,09205,深津,B-2,2020/03/17,0002,2020-1-21,36,32,46.4100,139,49,07.4200,1,115.30,10.00,土質,13102014202.pdf,36.546225,139.81872778,宇都宮市,上欠町
13102014203,2020/05/28,131020142,平成31年度,栃木県鹿沼土木事務所,02,須田地下工機株式会社,,09205,深津,B-3,2020/03/17,0003,2020-2-12,36,32,51.4100,139,48,46.8000,1,118.87,10.00,土質,13102014203.pdf,36.54761389,139.813,鹿沼市,深津
13102014204,2020/05/28,131020142,平成31年度,栃木県鹿沼土木事務所,02,須田地下工機株式会社,,09205,深津,B-4,2020/03/17,0004,2020-1-24,36,32,53.1700,139,48,46.5600,1,117.93,14.00,土質,13102014204.pdf,36.54810278,139.81293333,鹿沼市,深津
13102017301,2020/04/22,131020173,平成31年度,栃木県鹿沼土木事務所,02,第一測工株式会社,,09205,,NO.1,2020/04/20,0001,2020-2-12,36,34,21.1000,139,45,31.3200,1,148.70,8.90,土質,13102017301.pdf,36.57252778,139.7587,鹿沼市,下武子町
13102017302,2020/04/22,131020173,平成31年度,栃木県鹿沼土木事務所,02,第一測工株式会社,,09205,,NO.2,2020/04/20,0002,2020-2-14,36,34,20.2400,139,45,30.1400,1,148.61,8.00,土質,13102017302.pdf,36.57228889,139.75837222,鹿沼市,下武子町
13102018301,2021/03/03,131020183,平成31年度,栃木県鹿沼土木事務所,02,株式会社アーステック,,09322,上粕尾,Bor-1,2021/02/26,0001,2021-1-28,36,34,37.1000,139,31,38.3700,1,400.66,9.03,岩盤,13102018301.pdf,36.57697222,139.527325,鹿沼市,
13102018302,2021/03/03,131020183,平成31年度,栃木県鹿沼土木事務所,02,株式会社アーステック,,09322,上粕尾,Bor-2,2021/02/26,0002,2021-2-4,36,34,37.0300,139,31,37.7400,1,411.64,9.06,岩盤,13102018302.pdf,36.57695278,139.52715,鹿沼市,
13102018303,2021/03/03,131020183,平成31年度,栃木県鹿沼土木事務所,02,株式会社アーステック,,09322,上粕尾,Bor-3,2021/02/26,0003,2020-12-19,36,34,36.9100,139,31,39.0600,1,407.52,10.30,岩盤,13102018303.pdf,36.57691944,139.52751667,鹿沼市,
13102018304,2021/03/03,131020183,平成31年度,栃木県鹿沼土木事務所,02,株式会社アーステック,,09322,上粕尾,Bor-4,2021/02/26,0004,2021-2-8,36,34,36.7900,139,31,38.2400,1,401.68,5.00,岩盤,13102018304.pdf,36.57688611,139.52728889,鹿沼市,
13103015901,2020/08/13,131030159,平成31年度,栃木県日光土木事務所,03,川崎地質株式会社,,09206,川治,R2BV-9,2020/07/31,0001,2020-5-12,36,52,09.0000,139,42,33.0000,1,583.85,105.00,岩盤,13103015901.pdf,36.86916667,139.70916667,日光市,藤原
13103016001,2020/07/03,131030160,平成31年度,栃木県日光土木事務所,03,株式会社アーステック,,09206,川治,BV-42,2020/06/30,0001,2020-6-30,36,53,34.4300,139,41,57.8400,1,543.38,15.00,土質,13103016001.pdf,36.89289722,139.6994,日光市,川治温泉川治
13103016002,2020/07/03,131030160,平成31年度,栃木県日光土木事務所,03,株式会社アーステック,,09206,川治,BV-43,2020/06/30,0002,2020-5-12,36,53,34.5600,139,41,58.8500,1,529.01,39.00,土質,13103016002.pdf,36.89293333,139.69968056,日光市,川治温泉川治
13103016003,2020/07/03,131030160,平成31年度,栃木県日光土木事務所,03,株式会社アーステック,,09206,川治,BV-45,2020/06/30,0003,2020-5-15,36,53,38.7600,139,41,58.5500,1,481.99,20.00,岩盤,13103016003.pdf,36.8941,139.69959722,日光市,川治温泉川治
13103016004,2020/07/03,131030160,平成31年度,栃木県日光土木事務所,03,株式会社アーステック,,09206,川治,BV-46,2020/06/30,0004,2020-1-6,36,53,42.5400,139,41,59.5100,1,483.26,14.00,岩盤,13103016004.pdf,36.89515,139.69986389,日光市,川治温泉川治
13103016901,2020/07/20,131030169,平成31年度,栃木県日光土木事務所,03,日本測地株式会社,,09206,川治,BV-6,2020/07/10,0001,2020-4-28,36,51,53.7000,139,42,55.7000,1,486.51,12.01,土質,13103016901.pdf,36.86491667,139.71547222,日光市,藤原
13103016902,2020/07/20,131030169,平成31年度,栃木県日光土木事務所,03,日本測地株式会社,,09206,川治,BV-7,2020/07/10,0002,2020-4-30,36,51,54.7000,139,42,54.9000,1,509.88,19.02,岩盤,13103016902.pdf,36.86519444,139.71525,日光市,藤原
13103027701,2020/06/09,131030277,平成31年度,栃木県日光土木事務所,03,須田地下工機株式会社,,09206,文挾,BV-1(No.16),2020/05/29,0001,2020-3-9,36,40,25.2500,139,43,17.9100,1,288.42,17.00,土質,13103027701.pdf,36.67368056,139.72164167,日光市,明神
13103027702,2020/06/09,131030277,平成31年度,栃木県日光土木事務所,03,須田地下工機株式会社,,09206,文挾,BV-2(No.26+3.5m),2020/05/29,0002,2020-3-16,36,40,19.4300,139,43,14.3300,1,275.98,9.00,土質,13103027702.pdf,36.67206389,139.72064722,日光市,明神
13103027703,2020/06/09,131030277,平成31年度,栃木県日光土木事務所,03,須田地下工機株式会社,,09206,文挾,BV-3(No.44),2020/05/29,0003,2020-2-22,36,40,08.1300,139,43,10.9800,1,269.75,8.00,土質,13103027703.pdf,36.668925,139.71971667,日光市,小代
13103027704,2020/06/09,131030277,平成31年度,栃木県日光土木事務所,03,須田地下工機株式会社,,09206,文挾,BV-4(No.69),2020/05/29,0004,2020-3-26,36,39,52.0200,139,43,08.6400,1,274.74,20.00,土質,13103027704.pdf,36.66445,139.71906667,日光市,小代
13103027705,2020/06/09,131030277,平成31年度,栃木県日光土木事務所,03,須田地下工機株式会社,,09206,文挾,BV-5(No.79),2020/05/29,0005,2020-4-3,36,39,45.5400,139,43,08.2000,1,273.28,16.00,土質,13103027705.pdf,36.66265,139.71894444,日光市,小代
13103027706,2020/06/09,131030277,平成31年度,栃木県日光土木事務所,03,須田地下工機株式会社,,09206,文挾,BV-6(No.94),2020/05/29,0006,2020-2-20,36,39,35.8100,139,43,08.4400,1,258.17,9.00,土質,13103027706.pdf,36.65994722,139.71901111,日光市,小代
13103028301,2020/06/03,131030283,平成31年度,栃木県日光土木事務所,03,株式会社フジタ地質,,09207,文挾,BV-7,2020/05/29,0001,2020-2-25,36,39,23.4800,139,43,08.7600,1,257.89,13.45,土質,13103028301.pdf,36.65652222,139.7191,日光市,小代
13103028302,2020/06/03,131030283,平成31年度,栃木県日光土木事務所,03,株式会社フジタ地質,,09207,文挾,BV-8,2020/05/29,0002,2020-2-3,36,39,10.7900,139,43,07.1600,1,247.81,11.09,土質,13103028302.pdf,36.65299722,139.71865556,日光市,小代
13103028303,2020/06/03,131030283,平成31年度,栃木県日光土木事務所,03,株式会社フジタ地質,,09207,文挾,BV-9,2020/05/29,0003,2020-4-7,36,39,10.5700,139,43,08.9500,1,250.02,11.10,土質,13103028303.pdf,36.65293611,139.71915278,日光市,小代
13103028304,2020/06/03,131030283,平成31年度,栃木県日光土木事務所,03,株式会社フジタ地質,,09207,文挾,BV-10,2020/05/29,0004,2020-2-15,36,39,06.2500,139,43,06.2500,1,246.75,10.27,土質,13103028304.pdf,36.65173611,139.71840278,日光市,小代
13103028305,2020/06/03,131030283,平成31年度,栃木県日光土木事務所,03,株式会社フジタ地質,,09207,文挾,BV-11,2020/05/29,0005,2020-3-18,36,38,51.7400,139,43,02.6800,1,255.86,22.20,土質,13103028305.pdf,36.64770556,139.71741111,日光市,小代
13103028306,2020/06/03,131030283,平成31年度,栃木県日光土木事務所,03,株式会社フジタ地質,,09207,文挾,BV-12,2020/05/29,0006,2020-3-30,36,38,45.4400,139,43,01.4800,1,243.45,21.45,土質,13103028306.pdf,36.64595556,139.71707778,日光市,小代
13103028307,2020/06/03,131030283,平成31年度,栃木県日光土木事務所,03,株式会社フジタ地質,,09207,文挾,BV-13,2020/05/29,0007,2020-3-4,36,38,40.3300,139,43,01.4600,1,223.23,5.05,岩盤,13103028307.pdf,36.64453611,139.71707222,日光市,小代
13103038601,2020/07/20,131030386,平成31年度,栃木県日光土木事務所,03,第一測工株式会社,,09206,原,NO.B-1,2020/07/10,0001,2020-5-14,36,37,01.7400,139,24,47.2900,1,612.71,8.10,岩盤,13103038601.pdf,36.61715,139.41313611,日光市,
13103038602,2020/07/20,131030386,平成31年度,栃木県日光土木事務所,03,第一測工株式会社,,09206,原,NO.B-2,2020/07/10,0002,2020-5-12,36,37,02.0000,139,24,48.1400,1,592.79,5.40,岩盤,13103038602.pdf,36.61722222,139.41337222,日光市,
13103038603,2020/07/20,131030386,平成31年度,栃木県日光土木事務所,03,第一測工株式会社,,09206,原,NO.B-3,2020/07/10,0003,2020-5-19,36,37,02.2500,139,24,48.9900,1,607.27,5.70,岩盤,13103038603.pdf,36.61729167,139.41360833,日光市,
13103038604,2020/07/20,131030386,平成31年度,栃木県日光土木事務所,03,第一測工株式会社,,09206,原,NO.B-4,2020/07/10,0004,2020-5-12,36,37,01.3900,139,24,48.4200,1,589.86,5.50,岩盤,13103038604.pdf,36.61705278,139.41345,日光市,
13104003901,2020/11/05,131040039,平成31年度,栃木県真岡土木事務所,04,株式会社中央土木工学研究所,,09209,神井,B-1(No.2付近宅面),2019/10/25,0001,2019-8-26,36,30,56.8485,140,10,51.2928,1,99.31,5.00,岩盤,13104003901.pdf,36.51579125,140.18091467,茂木町,神井
13104003902,2020/11/05,131040039,平成31年度,栃木県真岡土木事務所,04,株式会社中央土木工学研究所,,09209,神井,B-2(最緩勾配斜面下腹部)),2019/10/25,0002,2019-9-10,36,30,57.4882,140,10,52.1605,1,103.89,9.00,岩盤,13104003902.pdf,36.51596894,140.18115569,茂木町,神井
