管理番号,登録年月日,設計書コード,実施年度,管轄土木事務所,管轄事務所コード,ボーリング業者,市町村,市町村コード,大字,ボーリング名,完了,ボーリング連番,採取日,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒,測地系,孔口標高（m）,掘進長（m）,柱状図区分,関連ファイル名,緯度(10進),経度(10進),市町村(逆ジオコード),区域(逆ジオコード)
11710003301,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-1,2006/1/31,1,2005/9/7,36,20,27.5817,139,26,22.3488,世界測地系,53.28,5.1,土質,11710003301.pdf,36.341016,139.439348,足利市,西宮町
11710003302,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-2,2006/1/31,2,2005/9/10,36,20,27.6574,139,26,21.6533,世界測地系,44.5,7.45,土質,11710003302.pdf,36.341506,139.43963,足利市,西宮町
11710003303,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-3,2006/1/31,3,2005/9/19,36,20,29.4216,139,26,22.6667,世界測地系,48,5.45,土質,11710003303.pdf,36.341781,139.439609,足利市,西宮町
11710003304,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-4,2006/1/31,4,2005/9/23,36,20,30.4101,139,26,22.5921,世界測地系,50.18,5.45,土質,11710003304.pdf,36.341813,139.439578,足利市,西宮町
11710003305,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-5,2006/1/31,5,2005/9/21,36,20,30.5273,139,26,22.4824,世界測地系,55.29,6,土質,11710003305.pdf,36.342414,139.439764,足利市,西宮町
11710003306,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-6,2006/1/31,6,2005/9/28,36,20,32.6902,139,26,23.1513,世界測地系,56.62,5,土質,11710003306.pdf,36.342736,139.440003,足利市,西宮町
11710003307,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-7,2006/1/31,7,2005/9/23,36,20,33.8501,139,26,24.012,世界測地系,61.44,7.45,土質,11710003307.pdf,36.343139,139.439762,足利市,西宮町
11710003308,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-8,2006/1/31,8,2005/9/16,36,20,35.3005,139,26,23.1419,世界測地系,68.36,5.45,土質,11710003308.pdf,36.343106,139.439616,足利市,西宮町
11710003309,2010/10/18,117100033,平成17年度,栃木県足利土木事務所,10,基礎地盤コンサルタンツ株式会社栃木事務所,,9202,,BV-9,2006/1/31,9,2005/9/17,36,20,35.1821,139,26,22.6177,世界測地系,200.82,11.12,土質,11710003309.pdf,36.616111,139.808333,宇都宮市,田下町
11801031401,2009/5/8,118010314,平成18年度,栃木県宇都宮土木事務所,1,富士コンサルタンツ株式会社,,9201,,B-1,2007/3/24,1,2007/1/27,36,36,58,139,48,30,世界測地系,200.64,9.07,土質,11801031401.pdf,36.616389,139.800833,宇都宮市,福岡町
11801031402,2009/5/8,118010314,平成18年度,栃木県宇都宮土木事務所,1,富士コンサルタンツ株式会社,,9201,,B-2,2007/3/24,2,2007/1/24,36,36,59,139,48,3,世界測地系,201.88,11.07,土質,11801031402.pdf,36.616944,139.808333,宇都宮市,新里町
11801031403,2009/5/8,118010314,平成18年度,栃木県宇都宮土木事務所,1,富士コンサルタンツ株式会社,,9201,,B-3,2007/3/24,3,2007/1/26,36,37,1,139,48,30,世界測地系,200.11,11.11,土質,11801031403.pdf,36.616389,139.808333,宇都宮市,田下町
11801031404,2009/5/8,118010314,平成18年度,栃木県宇都宮土木事務所,1,富士コンサルタンツ株式会社,,9201,,B-4,2007/3/24,4,2007/1/31,36,36,59,139,48,30,世界測地系,43.25,8.45,土質,11801031404.pdf,36.338056,139.825833,小山市,喜沢
11805069001,2008/6/25,118050690,平成18年度,栃木県栃木土木事務所,5,株式会社三条工測,,9208,出井,B-1,2007/3/23,1,2007/2/26,36,20,17,139,49,33,世界測地系,42.4,9.45,土質,11805069001.pdf,36.331667,139.823056,小山市,喜沢
11805069002,2008/6/25,118050690,平成18年度,栃木県栃木土木事務所,5,株式会社三条工測,,9208,出井,B-2,2007/3/23,2,2007/2/22,36,19,54,139,49,23,世界測地系,40.99,8.45,土質,11805069002.pdf,36.330833,139.827778,小山市,犬塚
11805069003,2008/6/25,118050690,平成18年度,栃木県栃木土木事務所,5,株式会社三条工測,,9208,出井,B-3,2007/3/23,3,2007/2/20,36,19,51,139,49,40,世界測地系,40.04,8.45,土質,11805069003.pdf,36.330556,139.830556,小山市,出井
11805069004,2008/6/25,118050690,平成18年度,栃木県栃木土木事務所,5,株式会社三条工測,,9208,出井,B-4,2007/3/23,4,2007/2/21,36,19,50,139,49,50,世界測地系,37.86,6.45,土質,11805069004.pdf,36.326111,139.83,小山市,犬塚
11805069005,2008/6/25,118050690,平成18年度,栃木県栃木土木事務所,5,株式会社三条工測,,9208,出井,B-5,2007/3/23,5,2007/2/20,36,19,34,139,49,48,世界測地系,36.72,8.45,土質,11805069005.pdf,36.324167,139.833056,小山市,犬塚
11805069006,2008/6/25,118050690,平成18年度,栃木県栃木土木事務所,5,株式会社三条工測,,9208,出井,B-6,2007/3/23,6,2007/2/21,36,19,27,139,49,59,世界測地系,41.94,7.45,土質,11805069006.pdf,36.331389,139.824167,小山市,喜沢
11805069007,2008/6/25,118050690,平成18年度,栃木県栃木土木事務所,5,株式会社三条工測,,9208,出井,B-7,2007/3/23,7,2007/9/10,36,19,53,139,49,27,世界測地系,46.09,7.45,土質,11805069007.pdf,36.351667,139.836944,小山市,荒井
11805069101,2008/5/28,118050691,平成18年度,栃木県栃木土木事務所,5,オリエンタル技術開発株式会社,,9208,出井,No.1,2007/3/23,1,2007/3/12,36,21,6,139,50,13,世界測地系,47.71,10.45,土質,11805069101.pdf,36.351389,139.838333,小山市,荒井
11805069102,2008/5/28,118050691,平成18年度,栃木県栃木土木事務所,5,オリエンタル技術開発株式会社,,9208,出井,No.2,2007/3/23,2,2007/3/8,36,21,5,139,50,18,世界測地系,47.03,10.45,土質,11805069102.pdf,36.351667,139.839722,小山市,荒井
11805069103,2008/5/28,118050691,平成18年度,栃木県栃木土木事務所,5,オリエンタル技術開発株式会社,,9208,出井,No.3,2007/3/23,3,2007/3/9,36,21,6,139,50,23,世界測地系,43.44,6.45,土質,11805069103.pdf,36.3525,139.841111,小山市,荒井
11805069104,2008/5/28,118050691,平成18年度,栃木県栃木土木事務所,5,オリエンタル技術開発株式会社,,9208,出井,No.4,2007/3/23,4,2007/3/13,36,21,9,139,50,28,世界測地系,43.27,7.45,土質,11805069104.pdf,36.353056,139.842222,小山市,荒井
11805069105,2008/5/28,118050691,平成18年度,栃木県栃木土木事務所,5,オリエンタル技術開発株式会社,,9208,出井,No.5,2007/3/23,5,2007/3/14,36,21,11,139,50,32,世界測地系,99.59,24.45,土質,11805069105.pdf,36.316944,139.5425,足利市,寺岡町
11810026401,2009/5/8,118100264,平成18年度,栃木県足利土木事務所,10,株式会社アイ・エヌ・エー,,99999,寺岡,H18No.1（堤頂）,2007/3/23,1,2007/3/9,36,19,1,139,32,33,世界測地系,97.87,7.45,土質,11810026401.pdf,36.316944,139.542222,足利市,寺岡町
11810026402,2009/5/8,118100264,平成18年度,栃木県足利土木事務所,10,株式会社アイ・エヌ・エー,,99999,寺岡,H18No.2（堤内）,2007/3/23,2,2007/3/9,36,19,1,139,32,32,世界測地系,100.01,14.45,土質,11810026402.pdf,36.318056,139.542778,足利市,寺岡町
11810026403,2009/5/8,118100264,平成18年度,栃木県足利土木事務所,10,株式会社アイ・エヌ・エー,,99999,寺岡,H18No.3（堤頂）,2007/3/23,3,2007/3/9,36,19,5,139,32,34,世界測地系,56.13,18.2,土質,11810026403.pdf,36.411389,139.9,上三川町,五分一
11901049601,2008/4/23,119010496,平成19年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9301,五分一,No.1（2号町道橋-左岸）,2008/3/25,1,2008/1/21,36,24,41,139,54,0,世界測地系,55.54,17.26,土質,11901049601.pdf,36.411667,139.899722,上三川町,五分一
11901049602,2008/4/23,119010496,平成19年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9301,五分一,No.2（2号町道橋-右岸）,2008/3/25,2,2008/1/17,36,24,42,139,53,59,世界測地系,55.82,17.33,土質,11901049602.pdf,36.412222,139.900833,上三川町,三本木
11901049603,2008/4/23,119010496,平成19年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9301,五分一,No.3（五分一堰-左岸）,2008/3/25,3,2008/1/31,36,24,44,139,54,3,世界測地系,55.99,17.05,土質,11901049603.pdf,36.412222,139.900278,上三川町,三本木
11901049604,2008/4/23,119010496,平成19年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9301,五分一,No.4（五分一堰-右岸）,2008/3/25,4,2008/2/4,36,24,44,139,54,1,世界測地系,57.8,19.32,土質,11901049604.pdf,36.417222,139.899444,上三川町,上三川
11901049605,2008/4/23,119010496,平成19年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9301,五分一,No.5（3号町道橋-左岸）,2008/3/25,5,2008/1/22,36,25,2,139,53,58,世界測地系,57.74,15.43,土質,11901049605.pdf,36.417222,139.899167,上三川町,下蒲生
11901049606,2008/4/23,119010496,平成19年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9301,五分一,No.6（3号町道橋-右岸）,2008/3/25,6,2008/1/24,36,25,2,139,53,57,世界測地系,164.59,9.12,土質,11901049606.pdf,36.542778,139.692222,鹿沼市,野尻
11902031901,2008/4/23,119020319,平成19年度,栃木県鹿沼土木事務所,2,福原地質基礎株式会社,,9205,,NO.1-1(右岸),2008/3/21,1,2008/3/21,36,32,34,139,41,32,世界測地系,164.38,6.44,岩盤,11902031901.pdf,36.542222,139.692222,鹿沼市,野尻
11902031903,2008/4/23,119020319,平成19年度,栃木県鹿沼土木事務所,2,福原地質基礎株式会社,,9205,,NO.1-3(左岸),2008/3/21,3,2008/3/21,36,32,32,139,41,32,世界測地系,161.18,7.57,岩盤,11902031903.pdf,36.5425,139.691944,鹿沼市,野尻
11902031904,2008/4/23,119020319,平成19年度,栃木県鹿沼土木事務所,2,福原地質基礎株式会社,,9205,,NO.1-4(副堰堤),2008/3/21,4,2008/3/21,36,32,33,139,41,31,世界測地系,167.44,8.05,岩盤,11902031904.pdf,36.543333,139.691111,鹿沼市,野尻
11902031905,2008/4/23,119020319,平成19年度,栃木県鹿沼土木事務所,2,福原地質基礎株式会社,,9205,,NO.2-1(右岸),2008/3/21,5,2008/3/21,36,32,36,139,41,28,世界測地系,164.39,11.06,岩盤,11902031905.pdf,36.543056,139.691389,鹿沼市,野尻
11902031906,2008/4/23,119020319,平成19年度,栃木県鹿沼土木事務所,2,福原地質基礎株式会社,,9205,,NO.2-2(中央),2008/3/21,6,2008/3/21,36,32,35,139,41,29,世界測地系,167.37,7.1,岩盤,11902031906.pdf,36.543056,139.691667,鹿沼市,野尻
11902031907,2008/4/23,119020319,平成19年度,栃木県鹿沼土木事務所,2,福原地質基礎株式会社,,9205,,NO.2-3(左岸),2008/3/21,7,2008/3/21,36,32,35,139,41,30,世界測地系,163.82,10.19,岩盤,11902031907.pdf,36.543056,139.691389,鹿沼市,野尻
11902031908,2008/4/23,119020319,平成19年度,栃木県鹿沼土木事務所,2,福原地質基礎株式会社,,9205,,NO.2-4(副堰堤),2008/3/21,8,2008/3/21,36,32,35,139,41,29,世界測地系,228.09,11,岩盤,11902031908.pdf,36.591389,139.6425,鹿沼市,
11902033301,2008/5/22,119020333,平成19年度,栃木県鹿沼土木事務所,2,須田地下工機株式会社,,26000,上久我,B-1(左岸),2008/3/10,1,2008/2/14,36,35,29,139,38,33,世界測地系,228.41,15,岩盤,11902033301.pdf,36.591667,139.6425,鹿沼市,
11902033302,2008/5/22,119020333,平成19年度,栃木県鹿沼土木事務所,2,須田地下工機株式会社,,26000,上久我,B-2(右岸),2008/3/10,2,2008/2/27,36,35,30,139,38,33,世界測地系,1186.6,4,岩盤,11902033302.pdf,36.746667,139.510833,日光市,中宮祠
11903008701,2009/5/25,119030087,平成19年度,栃木県日光土木事務所,3,有限会社菅沼ボーリング,,9206,いろは坂,No.23-2,2007/9/27,1,2007/8/8,36,44,48,139,30,39,世界測地系,1196.97,10,土質,11903008701.pdf,36.746667,139.510833,日光市,中宮祠
11903008702,2009/5/25,119030087,平成19年度,栃木県日光土木事務所,3,有限会社菅沼ボーリング,,9206,いろは坂,No.23-3,2007/9/27,2,2007/8/7,36,44,48,139,30,39,世界測地系,1074.1,11.1,土質,11903008702.pdf,36.745556,139.513889,日光市,中宮祠
11903008703,2009/5/25,119030087,平成19年度,栃木県日光土木事務所,3,有限会社菅沼ボーリング,,9206,いろは坂,35c-1,2007/9/27,3,2007/9/24,36,44,44,139,30,50,世界測地系,1063.98,10,土質,11903008703.pdf,36.745556,139.514167,日光市,中宮祠
11903008704,2009/5/25,119030087,平成19年度,栃木県日光土木事務所,3,有限会社菅沼ボーリング,,9206,いろは坂,35c-2,2007/9/27,4,2007/9/25,36,44,44,139,30,51,世界測地系,973.79,8,土質,11903008704.pdf,36.743611,139.5175,日光市,中宮祠
11903008705,2009/5/25,119030087,平成19年度,栃木県日光土木事務所,3,有限会社菅沼ボーリング,,9206,いろは坂,No.47-1,2007/9/27,5,2007/9/13,36,44,37,139,31,3,世界測地系,959.66,15.45,土質,11903008705.pdf,36.743889,139.5175,日光市,中宮祠
11903008706,2009/5/25,119030087,平成19年度,栃木県日光土木事務所,3,有限会社菅沼ボーリング,,9206,いろは坂,No.47-2,2007/9/27,6,2007/9/10,36,44,38,139,31,3,世界測地系,769.53,5,土質,11903008706.pdf,36.627519,139.460742,日光市,足尾町
11903035801,2008/7/10,119030358,平成19年度,栃木県日光土木事務所,3,株式会社中央土木工学研究所,,9206,内の籠,B-1,2008/3/25,1,2008/2/14,36,37,39.07,139,27,38.67,世界測地系,767.01,4,岩盤,11903035801.pdf,36.627519,139.4607,日光市,足尾町
11903035802,2008/7/10,119030358,平成19年度,栃木県日光土木事務所,3,株式会社中央土木工学研究所,,9206,内の籠,B-2,2008/3/25,2,2008/2/6,36,37,39.07,139,27,38.52,世界測地系,268.93,10.33,岩盤,11903035802.pdf,36.672222,139.708889,日光市,明神
11903037801,2010/3/15,119030378,平成19年度,栃木県日光土木事務所,3,富士コンサルタンツ株式会社,,9206,明神,No.1,2008/3/25,1,2008/3/10,36,40,20,139,42,32,世界測地系,267.99,9.25,土質,11903037801.pdf,36.6725,139.708889,日光市,明神
11903037802,2010/3/15,119030378,平成19年度,栃木県日光土木事務所,3,富士コンサルタンツ株式会社,,9206,明神,No.2,2008/3/25,2,2008/3/5,36,40,21,139,42,32,世界測地系,387.77,8,土質,11903037802.pdf,36.829514,139.715306,日光市,鬼怒川温泉滝
11903040301,2008/6/3,119030403,平成19年度,栃木県日光土木事務所,3,パスキン工業株式会社,,9206,鬼怒川温泉滝,B-1(測点No.10+2/L4.5),2008/3/10,1,2008/1/18,36,49,46.25,139,42,55.1,世界測地系,388.05,9,土質,11903040301.pdf,36.829903,139.715003,日光市,鬼怒川温泉滝
11903040302,2008/6/3,119030403,平成19年度,栃木県日光土木事務所,3,パスキン工業株式会社,,9206,鬼怒川温泉滝,B-2(測点No.12+8/L2.5),2008/3/10,2,2008/1/21,36,49,47.65,139,42,54.01,世界測地系,102.15,7,土質,11903040302.pdf,36.909444,139.700833,日光市,
11903040401,2008/4/21,119030404,平成19年度,栃木県日光土木事務所,3,第一測工株式会社,,9206,五十里,No.1,2008/2/22,1,2008/1/17,36,54,34,139,42,3,世界測地系,90.96,11,土質,11903040401.pdf,36.909444,139.700833,日光市,
11903040402,2008/4/21,119030404,平成19年度,栃木県日光土木事務所,3,第一測工株式会社,,9206,五十里,NO.2,2008/2/22,2,2008/1/22,36,54,34,139,42,3,世界測地系,78.97,9.45,土質,11903040402.pdf,36.476111,140.005833,真岡市,堀内
11904038601,2008/3/18,119040386,平成19年度,栃木県真岡土木事務所,4,パスキン工業株式会社,,9209,堀内,B-1(測点No.16),2008/2/21,1,2008/1/21,36,28,34,140,0,21,世界測地系,91.76,19.45,土質,11904038601.pdf,36.476389,140.005278,真岡市,堀内
11904038602,2008/3/18,119040386,平成19年度,栃木県真岡土木事務所,4,パスキン工業株式会社,,9209,堀内,B-2(測点No.16　L23.2m),2008/2/21,2,2008/1/17,36,28,35,140,0,19,世界測地系,98.45,9,土質,11904038602.pdf,36.595833,140.205,茂木町,入郷
11904046001,2008/5/9,119040460,平成19年度,栃木県真岡土木事務所,4,株式会社日さく,,9343,入郷,BV-B-1,2008/3/25,1,2008/3/25,36,35,45,140,12,18,世界測地系,96.8,11,地すべり,11904046001.pdf,36.595833,140.205833,茂木町,入郷
11904046002,2008/5/9,119040460,平成19年度,栃木県真岡土木事務所,4,株式会社日さく,,9343,入郷,BV-E-1,2008/3/25,2,2008/3/25,36,35,45,140,12,21,世界測地系,106.56,20,地すべり,11904046002.pdf,36.596111,140.206111,茂木町,入郷
11904046003,2008/5/9,119040460,平成19年度,栃木県真岡土木事務所,4,株式会社日さく,,9343,入郷,BV-E-2,2008/3/25,3,2008/3/25,36,35,46,140,12,22,世界測地系,124.56,18,地すべり,11904046003.pdf,36.596667,140.206111,茂木町,入郷
11904046004,2008/5/9,119040460,平成19年度,栃木県真岡土木事務所,4,株式会社日さく,,9343,入郷,BV-E-3,2008/3/25,4,2008/3/25,36,35,48,140,12,22,世界測地系,78.97,8,地すべり,11904046004.pdf,36.461486,140.101214,益子町,益子
11904052701,2008/10/20,119040527,平成19年度,栃木県真岡土木事務所,4,株式会社篠原設計,,9342,益子,No.1-L,2008/3/25,1,2008/3/5,36,27,41.35,140,6,4.37,世界測地系,79.25,8,土質,11904052701.pdf,36.461447,140.101344,益子町,益子
11904052702,2008/10/20,119040527,平成19年度,栃木県真岡土木事務所,4,株式会社篠原設計,,9342,益子,No.1-R,2008/3/25,2,2008/3/5,36,27,41.21,140,6,4.84,世界測地系,79.02,7,土質,11904052702.pdf,36.460225,140.102206,益子町,益子
11904052703,2008/10/20,119040527,平成19年度,栃木県真岡土木事務所,4,株式会社篠原設計,,9342,益子,No.10-R,2008/3/25,3,2008/3/7,36,27,36.81,140,6,7.94,世界測地系,19.69,16.45,土質,11904052703.pdf,36.288056,139.774444,小山市,粟宮
11905028601,2008/8/18,119050286,平成19年度,栃木県栃木土木事務所,5,株式会社栃木県用意補償コンサルタント,,9208,間中橋,"NO,1",2007/12/20,1,2007/9/20,36,17,17,139,46,28,世界測地系,48.16,26.45,土質,11905028601.pdf,36.390578,139.793197,栃木市,大光寺町
11905045101,2009/1/14,119050451,平成19年度,栃木県栃木土木事務所,5,パスキン工業株式会社,,9203,大光寺,B-1(A-1),2008/3/10,1,2007/12/26,36,23,26.08,139,47,35.51,世界測地系,36.94,13.45,土質,11905045101.pdf,36.390278,139.794522,栃木市,大光寺町
11905045102,2009/1/14,119050451,平成19年度,栃木県栃木土木事務所,5,パスキン工業株式会社,,9203,大光寺,B-2(P-3),2008/3/10,2,2008/2/14,36,23,25,139,47,40.28,世界測地系,50.19,50.29,土質,11905045102.pdf,36.390094,139.795972,栃木市,大光寺町
11905045103,2009/1/14,119050451,平成19年度,栃木県栃木土木事務所,5,パスキン工業株式会社,,9203,大光寺,B-3(P-6),2008/3/10,3,2008/2/8,36,23,24.34,139,47,45.5,世界測地系,48.82,17.42,土質,11905045103.pdf,36.390278,139.796956,栃木市,大光寺町
11905045104,2009/1/14,119050451,平成19年度,栃木県栃木土木事務所,5,パスキン工業株式会社,,9203,大光寺,B-4(A-2),2008/3/10,4,2008/1/11,36,23,25,139,47,49.04,世界測地系,25.71,16.45,土質,11905045104.pdf,36.294722,139.78,小山市,外城
11905064001,2008/4/28,119050640,平成19年度,栃木県栃木土木事務所,5,芙蓉地質株式会社,,6208,粟の宮,No.BL-1,2008/3/17,1,2008/1/21,36,17,41,139,46,48,世界測地系,23.48,15.45,土質,11905064001.pdf,36.295,139.78,小山市,外城
11905064002,2008/4/28,119050640,平成19年度,栃木県栃木土木事務所,5,芙蓉地質株式会社,,6208,粟の宮,No.BL-2,2008/3/17,2,2008/1/25,36,17,42,139,46,48,世界測地系,24.19,15.45,土質,11905064002.pdf,36.295,139.78,小山市,外城
11905064003,2008/4/28,119050640,平成19年度,栃木県栃木土木事務所,5,芙蓉地質株式会社,,6208,粟の宮,No.BL-3,2008/3/17,3,2008/1/29,36,17,42,139,46,48,世界測地系,55.74,14.31,土質,11905064003.pdf,36.369444,139.628333,岩舟町,小野寺
11905065601,2008/8/4,119050656,平成19年度,栃木県栃木土木事務所,5,有限会社菅沼ボーリング,,2367,小野寺,B-1,2008/2/19,1,2008/2/5,36,22,10,139,37,42,世界測地系,279.74,10.45,土質,11905065601.pdf,36.981111,140.144722,那須町,
11907041301,2008/6/17,119070413,平成19年度,栃木県大田原土木事務所,7,須田地下工機株式会社,,9407,西坂,B-1(No.6L-18.5),2008/3/10,1,2008/2/18,36,58,52,140,8,41,世界測地系,275.88,13.45,土質,11907041301.pdf,36.981111,140.145,那須町,
11907041302,2008/6/17,119070413,平成19年度,栃木県大田原土木事務所,7,須田地下工機株式会社,,9407,西坂,B-2(No.6L-10.5),2008/3/10,2,2008/2/13,36,58,52,140,8,42,世界測地系,280.98,8.45,土質,11907041302.pdf,36.980556,140.146944,那須町,
11907041303,2008/6/17,119070413,平成19年度,栃木県大田原土木事務所,7,須田地下工機株式会社,,9407,西坂,B-3(No.8l-19.0),2008/3/10,3,2008/2/25,36,58,50,140,8,49,世界測地系,199.8,15.45,土質,11907041303.pdf,36.846944,140.054722,大田原市,北大和久
11907041701,2008/4/2,119070417,平成19年度,栃木県大田原土木事務所,7,パスキン工業株式会社,,9210,赤瀬,B-1(NO.21),2008/3/10,1,2008/1/23,36,50,49,140,3,17,世界測地系,198.2,9.5,土質,11907041701.pdf,36.845833,140.056111,大田原市,北大和久
11907041702,2008/4/2,119070417,平成19年度,栃木県大田原土木事務所,7,パスキン工業株式会社,,9210,赤瀬,B-2(NO.29+7.0M),2008/3/10,2,2008/1/28,36,50,45,140,3,22,世界測地系,211.88,20.45,土質,11907041702.pdf,36.805,140.018889,大田原市,佐久山
11907044501,2008/8/13,119070445,平成19年度,栃木県大田原土木事務所,7,芙蓉地質株式会社,,9210,佐久山,No.1(測点No.67L20.0),2008/3/19,1,2008/2/12,36,48,18,140,1,8,世界測地系,206.73,15.45,土質,11907044501.pdf,36.805,140.019167,大田原市,佐久山
11907044502,2008/8/13,119070445,平成19年度,栃木県大田原土木事務所,7,芙蓉地質株式会社,,9210,佐久山,No.2(測点No.67R5.0),2008/3/19,2,2008/2/15,36,48,18,140,1,9,世界測地系,194.55,32.45,土質,11907044502.pdf,36.805556,140.019167,大田原市,佐久山
11907044503,2008/8/13,119070445,平成19年度,栃木県大田原土木事務所,7,芙蓉地質株式会社,,9210,佐久山,No.3(測点No.70+3.0),2008/3/19,3,2008/3/1,36,48,20,140,1,9,世界測地系,169.37,12.43,土質,11907044503.pdf,36.805833,140.019167,大田原市,佐久山
11907044504,2008/8/13,119070445,平成19年度,栃木県大田原土木事務所,7,芙蓉地質株式会社,,9210,佐久山,No.4(測点No.72+10.0),2008/3/19,4,2008/2/21,36,48,21,140,1,9,世界測地系,166.24,11.33,土質,11907044504.pdf,36.809444,140.019167,大田原市,佐久山
11907044505,2008/8/13,119070445,平成19年度,栃木県大田原土木事務所,7,芙蓉地質株式会社,,9210,佐久山,No.5(測点No.90+5.0),2008/3/19,5,2008/2/22,36,48,34,140,1,9,世界測地系,169.15,11.35,土質,11907044505.pdf,36.811389,140.018889,大田原市,佐久山
11907044506,2008/8/13,119070445,平成19年度,栃木県大田原土木事務所,7,芙蓉地質株式会社,,9210,佐久山,No.6(測点No.103+6.0),2008/3/19,6,2008/2/25,36,48,41,140,1,8,世界測地系,180.5,15.09,土質,11907044506.pdf,36.813333,140.018889,大田原市,滝沢
11907044507,2008/8/13,119070445,平成19年度,栃木県大田原土木事務所,7,芙蓉地質株式会社,,9210,佐久山,No.7(測点No.113+1.5),2008/3/19,7,2008/2/29,36,48,48,140,1,8,世界測地系,49.94,18.42,土質,11907044507.pdf,36.368056,139.480833,足利市,名草下町
11910004201,2008/10/2,119100042,平成19年度,栃木県足利土木事務所,10,株式会社ダイミック,,9202,,B-1,2008/1/31,1,2007/11/12,36,22,5,139,28,51,世界測地系,50.44,10.45,土質,11910004201.pdf,36.368056,139.481389,足利市,名草下町
11910004202,2008/10/2,119100042,平成19年度,栃木県足利土木事務所,10,株式会社ダイミック,,9202,,B-2,2008/1/31,2,2007/11/15,36,22,5,139,28,53,世界測地系,111.24,14.42,土質,11910004202.pdf,36.539167,139.823333,鹿沼市,深津
12001004901,2009/4/30,120010049,平成20年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9201,,A1,2008/8/4,1,2008/6/28,36,32,21,139,49,24,世界測地系,107.7,10.4,土質,12001004901.pdf,36.539444,139.823611,宇都宮市,上欠町
12001004902,2009/4/30,120010049,平成20年度,栃木県宇都宮土木事務所,1,芙蓉地質株式会社,,9201,,A2,2008/8/4,2,2008/6/19,36,32,22,139,49,25,世界測地系,58.22,14.37,土質,12001004902.pdf,36.419167,139.900556,上三川町,上三川
12001010101,2008/10/30,120010101,平成20年度,栃木県宇都宮土木事務所,1,福原地質基礎株式会社,,9301,五分一,NO.B-1(左岸),2008/9/29,1,2008/9/29,36,25,9,139,54,2,世界測地系,58.71,17.35,土質,12001010101.pdf,36.419167,139.900278,上三川町,上三川
12001010102,2008/10/30,120010101,平成20年度,栃木県宇都宮土木事務所,1,福原地質基礎株式会社,,9301,五分一,NO.B-2(右岸),2008/9/29,2,2008/9/29,36,25,9,139,54,1,世界測地系,128.88,9.1,土質,12001010102.pdf,36.576667,139.829444,宇都宮市,駒生町
12001012501,2009/4/28,120010125,平成20年度,栃木県宇都宮土木事務所,1,須田地下工機株式会社,,9201,,B-1(左),2009/2/10,1,2009/2/10,36,34,36,139,49,46,世界測地系,128.98,10.02,土質,12001012501.pdf,36.576944,139.829167,宇都宮市,駒生町
12001012502,2009/4/28,120010125,平成20年度,栃木県宇都宮土木事務所,1,須田地下工機株式会社,,9201,,B-2(右岸),2009/2/10,2,2009/2/10,36,34,37,139,49,45,世界測地系,98.73,10.45,土質,12001012502.pdf,36.528333,139.919444,宇都宮市,下栗町
12001013801,2009/1/8,120010138,平成20年度,栃木県宇都宮土木事務所,1,株式会社アーステック,,9201,,No.42,2008/10/6,1,2008/8/20,36,31,42,139,55,10,世界測地系,100.36,10.44,土質,12001013801.pdf,36.527222,139.920278,宇都宮市,石井町
12001013802,2009/1/8,120010138,平成20年度,栃木県宇都宮土木事務所,1,株式会社アーステック,,9201,,No.50,2008/10/6,2,2008/10/6,36,31,38,139,55,13,世界測地系,100.21,10.35,土質,12001013802.pdf,36.526111,139.920833,宇都宮市,下栗町
12001013803,2009/1/8,120010138,平成20年度,栃木県宇都宮土木事務所,1,株式会社アーステック,,9201,,No.58,2008/10/6,3,2008/8/28,36,31,34,139,55,15,世界測地系,119.18,10,土質,12001013803.pdf,36.561603,139.832025,宇都宮市,下荒針町
